Ref,Val,Package,PosX,PosY,Rot,Side
"C97","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.414004,-94.704184,90.000000,bottom
"C98","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.439404,-96.837794,90.000000,bottom
"C101","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",140.659124,-88.163614,90.000000,bottom
"C102","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.654784,-96.710804,180.000000,bottom
"C103","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.494524,-88.587154,90.000000,bottom
"C104","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.448814,-92.799204,0.000000,bottom
"C107","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",134.467604,-93.688204,180.000000,bottom
"C112","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.653074,-85.631674,180.000000,bottom
"C113","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",161.772600,-99.644200,-90.000000,bottom
"C114","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.904200,-99.822000,0.000000,bottom
"C117","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",143.814794,-86.779384,90.000000,bottom
"C118","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",161.772600,-97.129600,90.000000,bottom
"C121","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.253194,-91.249794,-90.000000,bottom
"C122","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.160200,-99.517200,90.000000,bottom
"C123","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.490000,-103.050000,-90.000000,bottom
"C124","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",156.438600,-100.761800,180.000000,bottom
"C125","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.653004,-89.141594,90.000000,bottom
"C126","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.559000,-98.323400,180.000000,bottom
"C127","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.414994,-86.652384,90.000000,bottom
"C128","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",154.584400,-96.723200,180.000000,bottom
"C129","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",143.459204,-93.662804,180.000000,bottom
"C130","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.143204,-95.059804,-90.000000,bottom
"C131","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",142.239994,-88.252594,90.000000,bottom
"C132","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",155.321000,-87.503000,90.000000,bottom
"C133","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.904200,-98.882200,0.000000,bottom
"C134","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.084000,-95.529400,90.000000,bottom
"C135","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.878800,-100.761800,0.000000,bottom
"C136","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",161.798000,-93.446600,90.000000,bottom
"C137","10nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",164.134800,-89.128600,90.000000,bottom
"C140","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",130.479814,-107.124784,90.000000,bottom
"CA1","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",187.042654,-94.893246,0.000000,bottom
"CA2","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.219154,-94.883246,180.000000,bottom
"CA10","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",180.086000,-80.238600,-90.000000,bottom
"L1","2.2uH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",171.950800,-77.222801,0.000000,bottom
"L2","R0603","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.480400,-81.032801,-90.000000,bottom
"L3","R0805","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",171.620600,-81.845601,180.000000,bottom
"L4","2.2uH","L_0603_1608Metric_Pad1.05x0.95mm_HandSolder",181.272754,-88.001454,90.000000,bottom
"L5","R0805","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder",184.523954,-91.684454,0.000000,bottom
"Q1","S8050","SOT-23",173.632654,-93.902854,180.000000,bottom
"Q2","S8050","SOT-23",169.792654,-93.902854,180.000000,bottom
"R1","33R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",168.442800,-90.251400,0.000000,bottom
"R2","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",168.452800,-91.211400,0.000000,bottom
"R3","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",175.242654,-97.132854,180.000000,bottom
"R4","7.5K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",164.782813,-75.893658,0.000000,bottom
"R5","2K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",164.802813,-74.933658,180.000000,bottom
"R6","20K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",178.482654,-95.383246,90.000000,bottom
"R7","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",177.542654,-95.393246,-90.000000,bottom
"R8","7.5K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",159.251413,-78.849059,0.000000,bottom
"R9","12K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",159.248912,-77.904057,180.000000,bottom
"R10","7.5K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.274653,-78.623053,0.000000,bottom
"R11","12K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",145.284654,-77.668051,180.000000,bottom
"R27","510R R0402 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",188.590000,-113.580000,90.000000,bottom
"R28","510R R0402 5%","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",188.440000,-106.540000,-90.000000,bottom
"R32","1R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",110.060000,-93.320200,0.000000,bottom
"R37","80.5R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.319984,-95.618594,0.000000,bottom
"R38","80.5R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.888184,-97.168014,0.000000,bottom
"R40","4.7K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",137.515604,-91.021234,-90.000000,bottom
"R41","4.7K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.223974,-93.637404,180.000000,bottom
"R42","4.7K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",138.990000,-93.620000,0.000000,bottom
"R43","4.7K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",139.039604,-95.796394,-90.000000,bottom
"R46","4.7K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",162.864800,-86.360000,0.000000,bottom
"R47","240R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",155.321000,-90.881200,90.000000,bottom
"R48","80.5R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",159.410000,-92.330000,90.000000,bottom
"RA8","14.3K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",112.750614,-98.412614,180.000000,bottom
"RA9","20K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",177.930000,-78.370000,180.000000,bottom
"RA20","33R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",143.306794,-103.035414,-90.000000,bottom
"RA22","20K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",147.929604,-101.943214,0.000000,bottom
"U3","TCS4615","TCS4615",168.080000,-76.040000,180.000000,bottom
"U4","TCS4615 ","TCS4615",180.252654,-91.945746,-90.000000,bottom
"U5","TPS7A8101DRBT","TPS7A8101DRBT",163.201413,-80.184058,0.000000,bottom
"U6","TPS7A8101DRBT","TPS7A8101DRBT",149.227154,-79.453054,0.000000,bottom
